,Song,Artist,Time
1,STAY,The Kid LAROI,2:21
2,INDUSTRY BABY,Lil Nas X,3:32
3,Bad Habits,Ed Sheeran,3:51
4,Happier Than Ever,Billie Eilish,4:58
5,good 4 u,Olivia Rodrigo,2:58
6,Need To Know,Doja Cat,3:30
7,Kiss Me More (feat. SZA),Doja Cat,3:28
8,Rumors,Lizzo,2:52
9,Wants and Needs (feat. Lil Baby),Drake,3:12
10,Volví,Aventura,3:50
11,Permission to Dance,BTS,3:07
12,Butter,BTS,2:44
13,Ain't Shit,Doja Cat,2:54
14,Take My Breath,The Weeknd,3:40
15,traitor,Olivia Rodrigo,3:49
16,RAPSTAR,Polo G,2:45
17,Beggin,Måneskin,3:31
18,Essence (feat. Tems),Wizkid,4:09
19,Pepas,Farruko,4:47
20,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,3:56
21,Woman,Doja Cat,2:52
22,Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,3:18
23,Dynamite,BTS,3:19
24,Todo De Ti,Rauw Alejandro,3:19
25,Late At Night,Roddy Ricch,2:54
26,Cry Baby,OFFICIAL HIGE DANDISM,4:00
27,Wockesha,Moneybagg Yo,3:00
28,2055,Sleepy Hallow,2:03
29,Save Your Tears (Remix),The Weeknd,3:11
30,Heat Waves,Glass Animals,3:58
31,Suiheisen,back number,4:45
32,Yonaguni,Bad Bunny,3:26
33,Hats Off,Lil Baby,4:17
34,GYALIS,Capella Grey,1:45
35,deja vu,Olivia Rodrigo,3:35
36,MONTERO (Call Me By Your Name),Lil Nas X,2:17
37,Blinding Lights,The Weeknd,3:21
38,Leave The Door Open,Bruno Mars,4:02
39,Astronaut In The Ocean,Masked Wolf,2:12
40,Time Heals,Rod Wave,3:13
41,Fancy Like,Walker Hayes,2:41
42,Get Into It (Yuh),Doja Cat,2:18
43,You Right,Doja Cat,3:06
44,Mind of Melvin (feat. Lil Uzi Vert),YNW Melly,3:50
45,Dried Flower,Yuuri,4:45
46,Thot Shit,Megan Thee Stallion,3:04
47,SUVs (Black on Black),Jack Harlow,2:37
48,Memory,Kane Brown,2:33
49,Essence (feat. Justin Bieber & Tems),Wizkid,4:23
50,"5500 Degrees (feat. Lil Baby, 42 Dugg & Rylo Rodriguez)",EST Gee,3:04
51,Skate,Bruno Mars,3:23
52,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3:10
53,Levitating (feat. DaBaby),Dua Lipa,3:23
54,Kirari,Fujii Kaze,3:51
55,drivers license,Olivia Rodrigo,4:02
56,DÁKITI,Bad Bunny,3:25
57,Back in Blood (feat. Lil Durk),Pooh Shiesty,3:04
58,Take Kare (feat. Lil Baby & Lil Durk),YNW Melly,4:28
59,夜に駆ける,YOASOBI,4:21
60,Leave Before You Love Me,Marshmello,2:34
61,2040,Lil Baby,3:12
62,Nevada,YoungBoy Never Broke Again,2:35
63,Wild Side (feat. Cardi B),Normani,3:29
64,Chosen (feat. Ty Dolla $ign),Blxst,2:41
65,Lil Bit,Nelly,3:15
66,Drankin N Smokin,Future,3:33
67,Monster,YOASOBI,3:26
68,Apoptosis,OFFICIAL HIGE DANDISM,6:29
69,I WANNA BE YOUR SLAVE,Måneskin,2:53
70,favorite crime,Olivia Rodrigo,2:32
71,Motley Crew,Post Malone,3:04
72,4 Da Gang,42 Dugg,2:35
73,HEARTBREAK ANNIVERSARY,GIVĒON,3:16
74,Before I Go (feat. Rod Wave),Kodak Black,3:24
75,Levitating,Dua Lipa,3:23
76,Watermelon Sugar,Harry Styles,2:53
77,RGB,YOASOBI,3:44
78,happier,Olivia Rodrigo,2:55
79,Yokaze,HENTAI SHINSHI CLUB,4:30
80,WHOLE LOTTA MONEY (Remix),BIA,3:49
81,Over the Top (feat. Drake),Smiley,2:33
82,Maybach (feat. Future),42 Dugg,3:19
83,Paralyzed,Sueco,2:42
84,p r i d e . i s . t h e . d e v i l,J. Cole,3:38
85,Shutter,Yuuri,4:07
86,Odo,Ado,3:28
87,Martin & Gina,Polo G,2:12
88,Gunjou,YOASOBI,4:08
89,A-O-K,Tai Verdes,2:53
90,Tombstone,Rod Wave,2:40
91,Still Runnin,Lil Baby,2:53
92,No Role Modelz,J. Cole,4:52
93,Time Today,Moneybagg Yo,2:16
94,How It Feels,Lil Baby,2:46
95,REPEAT IT,Lil Tecca,3:10
96,Hellcats & Trackhawks,Only The Family,2:26
97,"jealousy, jealousy",Olivia Rodrigo,2:53
98,m y . l i f e,J. Cole,3:38
99,AM Remix,Nio García,4:21
100,Beautiful Mistakes,Maroon 5,3:47
